# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecc planet1_omega planet1_ma0
8.32806489e+02 -4.46812773e+02 4.14786451e-01 -1.94048322e+02 1.40000000e+02 1.00000000e-02 1.35624613e+00 -5.95328645e-01 2.65065858e+00 4.20649884e+01 3.46303368e-01 2.25735830e+00 2.80884076e+00
6.75580840e+02 -4.50176977e+02 4.44717925e-01 -1.95509377e+02 1.40000000e+02 1.00000000e-02 1.36140166e+00 -5.33577689e-01 2.66387467e+00 4.21018188e+01 3.25245412e-01 7.21570175e-01 1.54452603e+00
4.54796000e+03 -4.48582000e+02 3.87079000e-01 -1.94815000e+02 1.75000000e+02 1.00000000e-03 1.35169000e+00 -5.56222000e-01 2.67401000e+00 4.21030000e+01 3.37959000e-01 7.12936000e-01 1.52246000e+00
1.03077423e+03 -4.46816997e+02 3.74788991e-01 -1.94048154e+02 1.75000000e+02 1.00000000e-03 1.35400115e+00 -5.52319468e-01 2.67216482e+00 4.21040068e+01 3.37888014e-01 7.05951667e-01 1.53111233e+00
7.46214829e+02 -4.44775769e+02 3.59231673e-01 -1.93161669e+02 1.75000000e+02 1.00000000e-03 1.35758559e+00 -5.57787197e-01 2.67465479e+00 4.21027205e+01 3.38489094e-01 7.19274980e-01 1.51613857e+00
1.08912390e+03 -4.46654369e+02 3.71484169e-01 -1.93977526e+02 1.75000000e+02 1.00000000e-03 1.35499857e+00 -5.64990422e-01 2.65513676e+00 4.21032201e+01 3.29064938e-01 7.50780897e-01 1.55333748e+00
1.13534568e+03 -4.47696666e+02 3.78291846e-01 -1.94430185e+02 1.75000000e+02 1.00000000e-03 1.35460510e+00 -5.07006034e-01 2.66581717e+00 4.21005022e+01 3.38036939e-01 7.42750471e-01 1.54607940e+00
1.00113472e+03 -4.46621634e+02 4.54539813e-01 -1.93963310e+02 1.75000000e+02 1.00000000e-03 1.35406391e+00 -5.71409970e-01 2.66985112e+00 4.20979505e+01 3.39687684e-01 9.25306317e-01 1.71490236e+00
5.23064426e+02 -4.48986106e+02 5.08722162e-01 -1.94990176e+02 1.00000000e+02 1.00000000e-03 1.34821404e+00 -6.61691995e-01 2.67764973e+00 4.20302150e+01 3.72678496e-01 3.24345722e+00 3.71936784e+00
1.43286891e+03 -4.47543681e+02 2.89789610e-01 -1.94363745e+02 3.00000000e+02 1.00000000e-03 1.35628636e+00 -5.43023576e-01 2.68119257e+00 4.21050025e+01 3.38906167e-01 7.19654199e-01 1.51668300e+00
9.29901786e+02 -4.47402429e+02 3.73748647e-01 -1.94302401e+02 1.75000000e+02 1.00000000e-03 1.35068916e+00 -5.88692269e-01 2.68650376e+00 4.20965127e+01 3.44321212e-01 9.85205727e-01 1.77833984e+00
2.38383283e+03 -4.48146233e+02 3.78456182e-01 -1.94625427e+02 1.75000000e+02 1.00000000e-03 1.34457688e+00 -6.44112115e-01 2.67814210e+00 4.20176952e+01 3.89836529e-01 4.05363854e+00 4.46139893e+00
2.60986539e+03 -4.48129659e+02 3.80551945e-01 -1.94618230e+02 1.75000000e+02 1.00000000e-03 1.35844278e+00 -5.43831073e-01 2.66395920e+00 4.21025090e+01 3.36260763e-01 7.05839722e-01 1.53368734e+00
2.65560175e+03 -4.47957265e+02 3.79691574e-01 -1.94543361e+02 1.75000000e+02 1.00000000e-03 1.34750022e+00 -5.01916946e-01 2.67691750e+00 4.21019044e+01 3.38537948e-01 7.15888010e-01 1.55775457e+00
5.64129595e+02 -4.43549796e+02 3.49855685e-01 -1.92629241e+02 1.75000000e+02 1.00000000e-03 1.35430667e+00 -5.54045554e-01 2.66580871e+00 4.21034992e+01 3.35017333e-01 7.12130612e-01 1.52328924e+00
